year,category,count
2024,physics.class-ph,113
2024,physics.comp-ph,306
2024,physics.data-an,68
2024,physics.ed-ph,120
2024,physics.flu-dyn,1078
2024,physics.gen-ph,185
2024,physics.geo-ph,190
2024,physics.hist-ph,110
2024,physics.ins-det,470
2024,physics.med-ph,282
2024,physics.optics,1398
2024,physics.plasm-ph,519
2024,physics.pop-ph,29
2024,physics.soc-ph,555
2024,physics.space-ph,75
2024,q-bio.BM,172
2024,q-bio.CB,38
2024,q-bio.GN,84
2024,q-bio.MN,69
2024,q-bio.NC,341
2024,q-bio.OT,56
2024,q-bio.PE,241
2024,q-bio.QM,300
2024,q-bio.SC,10
2024,q-bio.TO,44
2024,q-fin.CP,78
2024,q-fin.EC,3
2024,q-fin.GN,47
2024,q-fin.MF,100
2024,q-fin.PM,52
2024,q-fin.PR,44
2024,q-fin.RM,88
2024,q-fin.ST,97
2024,q-fin.TR,61
2024,quant-ph,6014
2024,solv-int,1
2024,stat.AP,487
2024,stat.CO,192
2024,stat.ME,1821
2024,stat.ML,1201
2024,stat.OT,25

