,player_id,Player,pos,GP,TOI,TOI_pp,Goals,Assists,First_Assists,Total_Points,Total_Points_pp,Shots,ixG,iCF,iSCF,iHDCF,Hits,Shots_Blocked,SF,CF,GF,xGF,Def_Zone_Starts,Off_Zone_Starts,oiSH,SCF,GA,G-ixG,OZ Start%,GF%
531,8479328,Julien Gauthier,F,57,492.166666666667,4.216666666666643,9,5,3,14,0.0,53,5.1499999999999995,94,58,26,105,13,214,417,19,18.05,42,57,0.08878504672897196,195,25,3.8500000000000005,0.5757575757575758,0.4318181818181818
532,8479329,Frederic Allard,D,3,41.533333333333005,0.05,0,0,0,0,0.0,6,0.32999999999999996,13,2,1,0,2,28,55,3,2.5300000000000002,1,5,0.10714285714285714,24,1,-0.32999999999999996,0.8333333333333334,0.75
533,8479333,Libor Hajek,D,16,212.14999999999904,0.0,1,0,0,1,0.0,13,0.31000000000000005,25,6,0,17,20,89,162,7,6.920000000000001,23,23,0.07865168539325842,71,5,0.69,0.5,0.5833333333333334
534,8479335,Rasmus Asplund,F,46,504.26666666666745,9.449999999999974,2,6,2,8,0.0,54,5.369999999999998,76,43,27,23,11,231,405,17,20.09,134,59,0.0735930735930736,200,28,-3.3699999999999983,0.30569948186528495,0.37777777777777777
535,8479336,Carl Grundstrom,F,57,612.866666666668,7.983333333333282,12,7,5,19,1.0,90,8.69,169,96,52,144,17,310,600,26,26.560000000000013,76,114,0.08387096774193549,299,37,3.3100000000000005,0.6,0.4126984126984127
536,8479337,Alex DeBrincat,F,82,1558.5166666666667,334.9000000000001,27,39,29,66,30.0,263,28.189999999999994,471,288,89,109,38,1048,1910,102,118.10999999999999,146,422,0.09732824427480916,1066,82,-1.1899999999999942,0.7429577464788732,0.5543478260869565
537,8479338,Markus Niemelainen,D,23,230.95,0.44999999999999696,0,0,0,0,0.0,16,0.6200000000000001,33,8,2,61,16,108,201,11,10.089999999999998,34,37,0.10185185185185185,107,11,-0.6200000000000001,0.5211267605633803,0.5
538,8479339,Patrik Laine,F,55,1051.6499999999996,184.25000000000023,22,30,18,52,16.0,184,15.33,359,155,43,27,27,676,1286,65,70.17,128,283,0.09615384615384616,641,56,6.67,0.6885644768856448,0.5371900826446281
539,8479343,Clayton Keller,F,82,1701.5166666666644,263.6333333333335,37,49,38,86,20.0,224,22.550000000000008,383,217,69,18,34,889,1619,110,93.08000000000001,264,338,0.12373453318335208,864,87,14.449999999999992,0.5614617940199336,0.5583756345177665
540,8479344,Jesse Puljujarvi,F,75,917.3833333333336,50.9666666666667,5,11,6,16,0.0,125,13.799999999999997,227,134,59,139,26,494,961,32,46.040000000000006,124,186,0.06477732793522267,483,42,-8.799999999999997,0.6,0.43243243243243246
541,8479345,Jakob Chychrun,D,48,1089.7833333333372,134.03333333333345,9,24,7,33,8.0,144,9.66,281,95,20,55,83,627,1146,63,63.88,156,194,0.10047846889952153,610,51,-0.6600000000000001,0.5542857142857143,0.5526315789473685
542,8479346,Dillon Dube,F,82,1243.2000000000025,111.35000000000001,18,27,14,45,4.0,151,18.139999999999986,267,183,78,136,21,703,1334,65,64.68,138,226,0.09246088193456614,629,69,-0.13999999999998636,0.6208791208791209,0.48507462686567165
